id,name,version,chain,author_name,author_id,created_at,mint_opens_at,supply,iterations_count
9310,The Girl and the Magic Forest Spirits,fxhash 1.0 (Tezos),TEZOS,Okkidesign,tz1UCfrnuTyLCff3tW9DAFiZ7Gz1f1StMcc7,2022-02-14T05:02:04+00:00,2022-02-14T08:02:04+00:00,8,8
9311,[heart/ascii.glitch],fxhash 1.0 (Tezos),TEZOS,frederative,tz1bBovMRD5bmUCa4QEy7jmCeotUck1bmNUF,2022-02-14T05:07:04+00:00,2022-02-14T05:07:04+00:00,12,12
9313,LFP_GEN2,fxhash 1.0 (Tezos),TEZOS,Little_Earthquake,tz1TxhbqfzDpte9edJZe3nnpuffisYXzwPxz,2022-02-14T05:11:04+00:00,2022-02-14T08:11:04+00:00,1,1
9314,Labyrinth,fxhash 1.0 (Tezos),TEZOS,Stonn,tz1eqcruUAez6PASNd9Z5oHT2rqoTPqWGFsU,2022-02-14T05:12:34+00:00,2022-02-14T08:12:34+00:00,3,3
9316,Ethereal Glitched Quadrangles,fxhash 1.0 (Tezos),TEZOS,rangga_purnama_aji,tz1f5b3SKY2RnVKv7owkKTiNKrTKS6CaQ4vi,2022-02-14T05:16:34+00:00,2022-02-14T05:16:34+00:00,6,6
9317,Valentine's Waifu,fxhash 1.0 (Tezos),TEZOS,wahangga,tz1gWH8cchSgMd2NVjcmdbZqveYAVvwgwYxq,2022-02-14T05:21:44+00:00,2022-02-14T08:21:44+00:00,9,9
9318,Dusk is near,fxhash 1.0 (Tezos),TEZOS,JT | orangecat.nft,tz1YnnXf9o2dD4ZfMaQpA9NXbP7dJ2D5F3P7,2022-02-14T05:22:14+00:00,2022-02-14T05:22:14+00:00,1,1
9319,Plants & Art ,fxhash 1.0 (Tezos),TEZOS,Public Domain Gallery,tz1THhVXbBf4zouuLmTG4GvpVc3vSMW59eEb,2022-02-14T05:24:14+00:00,2022-02-14T08:24:14+00:00,15,15
9320,fire obsidian,fxhash 1.0 (Tezos),TEZOS,gilbster,tz1YQx3RyCaGrsAbBXQHa4YHucToCR7H1P8y,2022-02-14T05:24:44+00:00,2022-02-14T08:24:44+00:00,5,5
9321,fx(solars),fxhash 1.0 (Tezos),TEZOS,MojoNFT,tz1fGEhDHe6aQFQWRuqZyU9sbLorBeXck1XM,2022-02-14T05:32:44+00:00,2022-02-14T08:32:44+00:00,18,18
9322,Mod Quad Designs #1,fxhash 1.0 (Tezos),TEZOS,byt3,tz2DZqu7uFcRLE44qtndGTLgvKjzDLGVEAyj,2022-02-14T05:34:14+00:00,2022-02-14T05:34:14+00:00,7,7
9323,Thrashin' Springfield,fxhash 1.0 (Tezos),TEZOS,LOVEDROP69,tz1epnSBiaR334dL3wuX2TN9S52EJMGeSkXn,2022-02-14T05:34:44+00:00,2022-02-14T08:34:44+00:00,13,13
9325,Dither_Graffiti,fxhash 1.0 (Tezos),TEZOS,V5MT,tz1LAdqCcvhj438mV4ADMuGkhtyjMJgqPnYX,2022-02-14T05:45:14+00:00,2022-02-14T05:45:14+00:00,63,63
9326,Abstract,fxhash 1.0 (Tezos),TEZOS,SimpleLife,tz2EnPA197HqHKeZ1nqmNMxjcmoAxC6qLXvz,2022-02-14T05:51:14+00:00,2022-02-14T05:51:14+00:00,9,9
9327,Back and Forth,fxhash 1.0 (Tezos),TEZOS,Andrei Thomaz,tz1MbiVqHDkT9ycwdsJAGUWmPJ6JQaD2ibTB,2022-02-14T05:52:14+00:00,2022-02-14T08:52:14+00:00,2,2
9330,Wobbler,fxhash 1.0 (Tezos),TEZOS,DrAbstract,tz1QEvSFwhUdTF7ETHtn7h2GmfF2nnYnyRpq,2022-02-14T06:30:44+00:00,2022-02-14T09:30:44+00:00,8,8
9331,Nocturne II,fxhash 1.0 (Tezos),TEZOS,Patt,tz1RKrpqCjMCBwctmXSzzdZtKGNTNJ1Zc6bj,2022-02-14T06:35:14+00:00,2022-02-14T09:35:14+00:00,8,8
9333,Brutalist Quads,fxhash 1.0 (Tezos),TEZOS,byt3,tz2DZqu7uFcRLE44qtndGTLgvKjzDLGVEAyj,2022-02-14T06:50:44+00:00,2022-02-14T06:50:44+00:00,15,15
