id,name,version,chain,mint_opens_at,supply,minted,currency,primary_volume,primary_sales,secondary_volume,total_volume,total_sales,total_volume_usd
24701,wreckmess,fxhash 1.0 (Tezos),TEZOS,2023-02-04T20:29:00+00:00,64,64,XTZ,64.0,64,1.0,65.0,65,76.4
24702,Optickle,fxhash 1.0 (Tezos),TEZOS,2023-02-04T18:00:00+00:00,64,23,XTZ,57.5,23,0.0,57.5,23,53.2
24703,Arts of Chet Landscapes 2,fxhash 1.0 (Tezos),TEZOS,2023-02-04T20:00:00+00:00,56,56,XTZ,2.24,56,0.0,2.24,56,1.9
24704,Magic Ritual,fxhash 1.0 (Tezos),TEZOS,2023-02-04T20:00:00+00:00,160,59,XTZ,495.0,59,1.0,496.0,60,542.02
24705,Sushi material,fxhash 1.0 (Tezos),TEZOS,2023-02-04T20:58:44+00:00,100,1,XTZ,3.0,1,0.0,3.0,1,3.54
2471,pixelflow,fxhash 1.0 (Tezos),TEZOS,2021-12-06T20:44:20+00:00,82,82,XTZ,82.0,82,11.24,93.24,88,351.07
24710,Aeacus Nomadic Run,fxhash 1.0 (Tezos),TEZOS,2023-02-05T00:05:14+00:00,100,4,XTZ,1.0,4,0.0,1.0,4,1.06
24711,Highlighters,fxhash 1.0 (Tezos),TEZOS,2023-02-05T00:11:14+00:00,6,6,XTZ,18.75,6,0.0,18.75,6,19.75
24713,Shadow theater,fxhash 1.0 (Tezos),TEZOS,2023-02-05T15:00:00+00:00,32,32,XTZ,1024.0,32,195.0,1219.0,36,1395.32
24714,Manhattan Distance,fxhash 1.0 (Tezos),TEZOS,2023-02-05T19:00:00+00:00,128,122,XTZ,0.0,122,2.08,2.08,124,2.42
24716,Open-Minded,fxhash 1.0 (Tezos),TEZOS,2023-02-04T23:05:59+00:00,40,1,XTZ,1.2,1,0.0,1.2,1,1.39
24717,"Tempe, AZ",fxhash 1.0 (Tezos),TEZOS,2023-02-05T15:00:00+00:00,316,313,XTZ,3176.0,313,1531.62,4707.62,408,5401.28
24718,Spring,fxhash 1.0 (Tezos),TEZOS,2023-02-05T02:22:59+00:00,9,2,XTZ,1.98,2,0.0,1.98,2,2.35
24719,pixeldrop,fxhash 1.0 (Tezos),TEZOS,2023-02-04T23:29:59+00:00,171,171,XTZ,171.0,171,9.6,180.6,177,209.24
2472,雾(fog),fxhash 1.0 (Tezos),TEZOS,2021-12-06T20:44:20+00:00,5,5,XTZ,20.0,5,0.1,20.1,6,82.98
24720,Assemble Turbo,fxhash 1.0 (Tezos),TEZOS,2023-02-05T14:22:00+00:00,5,5,XTZ,7.5,5,10.0,17.5,6,19.44
24721,Once Upon a Time,fxhash 1.0 (Tezos),TEZOS,2023-02-07T16:18:00+00:00,128,128,XTZ,590.0,128,117.97,707.97,148,829.49
24722,AI Network,fxhash 1.0 (Tezos),TEZOS,2023-02-05T14:15:00+00:00,16,6,XTZ,6.0,6,0.0,6.0,6,6.95
24723,Carousel up,fxhash 1.0 (Tezos),TEZOS,2023-02-08T14:30:00+00:00,64,64,XTZ,256.0,64,26.99,282.99,75,314.55
24724,MacArthur Park,fxhash 1.0 (Tezos),TEZOS,2023-02-05T13:00:00+00:00,27,27,XTZ,166.0,27,6.0,172.0,28,199.46
24725,Free Birds,fxhash 1.0 (Tezos),TEZOS,2023-02-06T14:15:00+00:00,8,5,XTZ,5.0,5,0.0,5.0,5,5.86
24726,zoom zoom zoom,fxhash 1.0 (Tezos),TEZOS,2023-02-05T20:32:00+00:00,32,32,XTZ,102.4,32,231.19,333.59,52,375.58
24727,Impression of the city,fxhash 1.0 (Tezos),TEZOS,2023-02-05T15:30:00+00:00,200,200,XTZ,0.0,200,18.962,18.962,222,21.82
2473,Emotion Bubbles,fxhash 1.0 (Tezos),TEZOS,2021-12-06T20:44:50+00:00,10,10,XTZ,10.0,10,0.0,10.0,10,41.74
24730,Forever Expanding(infinite runtime result),fxhash 1.0 (Tezos),TEZOS,2023-02-05T23:00:00+00:00,20,0,XTZ,0.0,0,0.0,0.0,0,0.0
24731,Dense Lotus Forest,fxhash 1.0 (Tezos),TEZOS,2023-02-05T11:07:44+00:00,32,32,XTZ,32.0,32,26.0,58.0,35,67.94
24732,people,fxhash 1.0 (Tezos),TEZOS,2023-02-05T11:30:00+00:00,50,25,XTZ,22.5,25,0.0,22.5,25,26.04
24734,IO characters,fxhash 1.0 (Tezos),TEZOS,2023-02-05T12:48:59+00:00,32,32,XTZ,2.7,32,0.0,2.7,32,3.18
24735,Mass collapsing,fxhash 1.0 (Tezos),TEZOS,2023-02-05T09:59:59+00:00,256,135,XTZ,67.5,135,0.033,67.533,136,75.94
24736,Wandered to another realm on Genuary32nd,fxhash 1.0 (Tezos),TEZOS,2023-02-05T13:00:29+00:00,32,32,XTZ,1024.0,32,556.0,1580.0,39,1796.01
24737,RGB Barcodes,fxhash 1.0 (Tezos),TEZOS,2023-02-05T13:31:29+00:00,10000,1,XTZ,1.0,1,0.0,1.0,1,1.19
24738,Evanescent Directions,fxhash 1.0 (Tezos),TEZOS,2023-02-05T14:49:44+00:00,30,1,XTZ,1.0,1,0.0,1.0,1,1.19
24739,MonoSynth: V-MI XL++ 003,fxhash 1.0 (Tezos),TEZOS,2023-02-05T15:04:14+00:00,150,7,XTZ,17.5,7,0.0,17.5,7,19.01
2474,Earth,fxhash 1.0 (Tezos),TEZOS,2021-12-06T20:52:00+00:00,365,365,XTZ,2190.0,365,2892.476519,5082.476519,501,21199.82
24740,SolarSystem Generative Map,fxhash 1.0 (Tezos),TEZOS,2023-02-05T15:35:59+00:00,200,0,XTZ,0.0,0,0.0,0.0,0,0.0
24741,Tangle,fxhash 1.0 (Tezos),TEZOS,2023-02-05T16:06:00+00:00,15,15,XTZ,22.5,15,0.0,22.5,15,25.74
24742,Squares,fxhash 1.0 (Tezos),TEZOS,2023-02-05T16:22:14+00:00,100,1,XTZ,2.0,1,0.0,2.0,1,2.34
24743,Botanical Ghosts,fxhash 1.0 (Tezos),TEZOS,2023-02-05T18:00:00+00:00,360,360,XTZ,5304.0,360,3148.749184,8452.749184,567,9817.7
24744,Mesmerize*1,fxhash 1.0 (Tezos),TEZOS,2023-02-05T20:29:00+00:00,64,32,XTZ,32.0,32,2.0,34.0,33,38.51
24745,G#3NU2#A,fxhash 1.0 (Tezos),TEZOS,2023-02-05T18:00:00+00:00,9,9,XTZ,9.16,9,0.0,9.16,9,10.36
24746,Simple but effective!,fxhash 1.0 (Tezos),TEZOS,2023-02-05T17:23:59+00:00,10,10,XTZ,1.0,10,0.0,1.0,10,1.1
24747,Strips layouts - rougher,fxhash 1.0 (Tezos),TEZOS,2023-02-05T18:00:00+00:00,17,10,XTZ,15.5,10,0.0,15.5,10,17.55
24748,Effulgence,fxhash 1.0 (Tezos),TEZOS,2023-02-05T17:00:00+00:00,25,15,XTZ,124.0,15,0.0,124.0,15,141.72
24749,The Yoni Project,fxhash 1.0 (Tezos),TEZOS,2023-02-05T15:27:59+00:00,800,770,XTZ,0.0,770,12.0,12.0,776,12.9
2475,Encoded message,fxhash 1.0 (Tezos),TEZOS,2021-12-06T20:54:00+00:00,3,3,XTZ,3.0,3,0.0,3.0,3,13.94
