"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"#000000FF","#000104FF","#533A26FF","#4F392BFF","#503A2CFF","#9C846AFF","#9A8568FF","#9D8368FF","#99836CFF","#DB5844FF","#D75849FF","#DA5647FF"
"#000000FF","#000002FF","#010000FF","#000100FF","#000004FF","#7F1845FF","#821849FF","#7E1848FF","#801948FF","#801849FF","#5F3BE7FF","#5F3AE9FF"
"#001A29FF","#633633FF","#834A39FF","#E3B571FF","#EEE6A6FF","#001A29FF","#633633FF","#834A39FF","#E3B571FF","#EEE6A6FF","#001A29FF","#633633FF"
"#0E151FFF","#0E151DFF","#171F2AFF","#19232FFF","#1A222FFF","#29313EFF","#4C5260FF","#4C525EFF","#877E81FF","#DEB9A7FF","#E0B9A8FF","#DFBAA8FF"
"#51301FFF","#85512CFF","#B2713BFF","#B27139FF","#B26F38FF","#B37039FF","#B1703AFF","#B17038FF","#BA8946FF","#BA8B47FF","#BA8B45FF","#BE8F49FF"
"#000000FF","#640002FF","#630102FF","#640003FF","#810100FF","#BA142AFF","#BB132AFF","#EA3639FF","#E93639FF","#EAEAEAFF","#000000FF","#640002FF"
"#000000FF","#2E1A13FF","#2D1A13FF","#40281EFF","#40281CFF","#7E3D29FF","#D29E3BFF","#000000FF","#2E1A13FF","#2D1A13FF","#40281EFF","#40281CFF"
"#000000FF","#220152FF","#230052FF","#210051FF","#540187FF","#530086FF","#530088FF","#8A01A9FF","#8A00ABFF","#8F0133FF","#000000FF","#220152FF"
"#000000FF","#3E4243FF","#EBBFDDFF","#E6498FFF","#4ECBCEFF","#2E335EFF","#000000FF","#3E4243FF","#EBBFDDFF","#E6498FFF","#4ECBCEFF","#2E335EFF"
"#000000FF","#281913FF","#5E382EFF","#9EA6A9FF","#B8C3C5FF","#EAEBEDFF","#000000FF","#281913FF","#5E382EFF","#9EA6A9FF","#B8C3C5FF","#EAEBEDFF"
"#000000FF","#4E1005FF","#A1200DFF","#E13217FF","#C4CFD1FF","#E7EBEEFF","#000000FF","#4E1005FF","#A1200DFF","#E13217FF","#C4CFD1FF","#E7EBEEFF"
"#141824FF","#32363FFF","#55555FFF","#AD8875FF","#523B33FF","#361913FF","#141824FF","#32363FFF","#55555FFF","#AD8875FF","#523B33FF","#361913FF"
"#1C193AFF","#351520FF","#608587FF","#77B2ACFF","#ABD4C6FF","#9D8072FF","#3B324BFF","#1C193AFF","#351520FF","#608587FF","#77B2ACFF","#ABD4C6FF"
"#484D53FF","#737A82FF","#A67B6BFF","#DABFACFF","#E7DDD3FF","#D47DD2FF","#484D53FF","#737A82FF","#A67B6BFF","#DABFACFF","#E7DDD3FF","#D47DD2FF"
